mode,clicks,seed,lastWin
no-shop,3,1,51
no-shop,3,2,73
no-shop,3,3,74
no-shop,3,4,49
no-shop,3,5,159
no-shop,3,6,123
no-shop,3,7,74
no-shop,3,8,63
no-shop,3,9,109
no-shop,3,10,74
no-shop,3,11,74
no-shop,3,12,63
no-shop,5,1,74
no-shop,5,2,73
no-shop,5,3,94
no-shop,5,4,49
no-shop,5,5,213
no-shop,5,6,123
no-shop,5,7,105
no-shop,5,8,63
no-shop,5,9,109
no-shop,5,10,74
no-shop,5,11,74
no-shop,5,12,63
shop,3,1,300
shop,3,2,300
shop,3,3,300
shop,3,4,300
shop,3,5,300
shop,3,6,300
shop,3,7,300
shop,3,8,300
shop,3,9,300
shop,3,10,300
shop,3,11,300
shop,3,12,300
shop,5,1,300
shop,5,2,300
shop,5,3,300
shop,5,4,300
shop,5,5,300
shop,5,6,300
shop,5,7,300
shop,5,8,300
shop,5,9,300
shop,5,10,300
shop,5,11,300
shop,5,12,300
level,time,power,cooldown
1,3,0.25,4.5
5,4.92,0.522,4.1459236
10,6.9626994,1.0419999,3.9488027
25,12.679941,2.5898776,3.6532178
50,22.122957,5.442,3.403624
100,41.789955,12.495984,3.1370227
250,108.044846,45.29557,2.768479
500,239.51831,139.5826,2.4830995
1000,566.45715,477.69482,2.1949115
